1;10000;100;78
1;50000;100;484
1;100000;100;1031
1;500000;100;5467
1;1000000;100;12590
2;10000;100;124
2;50000;100;546
2;100000;100;1124
2;500000;100;5514
2;1000000;100;11169
3;10000;100;78
3;50000;100;468
3;100000;100;999
3;500000;100;5451
3;1000000;100;11138
4;10000;100;78
4;50000;100;484
4;100000;100;999
4;500000;100;5576
4;1000000;100;17923
5;10000;100;124
5;50000;100;827
5;100000;100;1484
5;500000;100;7591
5;1000000;100;13668
6;10000;100;62
6;50000;100;390
6;100000;100;843
6;500000;100;4373
6;1000000;100;8951
7;10000;100;46
7;50000;100;296
7;100000;100;671
7;500000;100;3702
7;1000000;100;7396
8;10000;100;31
8;50000;100;187
8;100000;100;343
8;500000;100;1952
8;1000000;100;4170
