1;1;100;93
1;2;100;499
1;3;100;1031
1;4;100;7732
1;5;100;10716
2;1;100;93
2;2;100;484
2;3;100;1109
2;4;100;6014
2;5;100;11965
3;1;100;109
3;2;100;609
3;3;100;1124
3;4;100;5904
3;5;100;13043
4;1;100;124
4;2;100;624
4;3;100;1316
4;4;100;6260
4;5;100;11082
5;1;100;78
5;2;100;499
5;3;100;1015
5;4;100;5186
5;5;100;11325
6;1;100;93
6;2;100;531
6;3;100;1077
6;4;100;4764
6;5;100;9060
7;1;100;93
7;2;100;421
7;3;100;984
7;4;100;4498
7;5;100;9734
8;1;100;30
8;2;100;181
8;3;100;393
8;4;100;2640
8;5;100;4094
