1;1;100;109
1;2;100;515
1;3;100;1062
1;4;100;5498
1;5;100;11091
2;1;100;93
2;2;100;499
2;3;100;1015
2;4;100;5217
2;5;100;10325
3;1;100;93
3;2;100;499
3;3;100;1015
3;4;100;5186
3;5;100;10325
4;1;100;78
4;2;100;499
4;3;100;1015
4;4;100;5186
4;5;100;10278
5;1;100;78
5;2;100;609
5;3;100;1265
5;4;100;5139
5;5;100;10091
6;1;100;78
6;2;100;453
6;3;100;921
6;4;100;4733
6;5;100;9279
7;1;100;62
7;2;100;406
7;3;100;859
7;4;100;4295
7;5;100;8826
8;1;100;15
8;2;100;203
8;3;100;437
8;4;100;2155
8;5;100;6029
