1;1;1;0
1;1;1;10
1;2;1;3
1;3;1;10
1;4;1;60
1;5;1;122
2;1;1;0
2;2;1;4
2;3;1;4
2;4;1;50
2;5;1;97
3;1;1;0
3;2;1;5
3;3;1;10
3;4;1;40
3;5;1;86
4;1;1;0
4;2;1;7
4;3;1;4
4;4;1;33
4;5;1;67
5;1;1;0
5;2;1;0
5;3;1;3
5;4;1;26
5;5;1;55
6;1;1;0
6;2;1;4
6;3;1;6
6;4;1;27
6;5;1;40
7;1;1;0
7;2;1;0
7;3;1;4
7;4;1;20
7;5;1;44
8;1;1;0
8;2;1;0
8;3;1;0
8;4;1;20
8;5;1;44
1;1;1;0
1;2;1;9
1;3;1;13
1;4;1;60
1;5;1;127
2;1;1;0
2;2;1;4
2;3;1;13
2;4;1;50
2;5;1;97
3;1;1;0
3;2;1;6
3;3;1;8
3;4;1;40
3;5;1;102
4;1;1;0
4;2;1;0
4;3;1;10
4;4;1;40
4;5;1;80
5;1;1;0
5;2;1;0
5;3;1;5
5;4;1;35
5;5;1;54
6;1;1;0
6;2;1;3
6;3;1;3
6;4;1;30
6;5;1;69
7;1;1;0
7;2;1;0
7;3;1;1
7;4;1;28
7;5;1;61
8;1;1;0
8;2;1;0
